DWIVEDI        CLASSICAL       RUN
1.46603e-09    1.22707e-09    203
1.47062e-09    1.65357e-09    204
1.46942e-09    1.55065e-09    205
1.46527e-09    1.70747e-09    206
1.48891e-09    1.5445e-09     207
1.46984e-09    1.5908e-09     208
1.46748e-09    1.20909e-09    209
1.47995e-09    1.26362e-09    210
1.48427e-09    1.26495e-09    211
1.46859e-09    1.20893e-09    212
1.48106e-09    1.53831e-09    213
1.46807e-09    1.64946e-09    214
1.47902e-09    1.58145e-09    215
1.48604e-09    1.41131e-09    216
1.47931e-09    1.43506e-09    217
1.47448e-09    1.59195e-09    218
1.46767e-09    1.42249e-09    219
1.46798e-09    1.85032e-09    220
1.46936e-09    1.48956e-09    221
1.45989e-09    1.5792e-09     222
1.47306e-09    1.47882e-09    223
1.46176e-09    1.39759e-09    224
1.48014e-09    1.73707e-09    225
1.47348e-09    1.32522e-09    226
1.47725e-09    1.46192e-09    227
1.48434e-09    1.44593e-09    228
1.46467e-09    1.55416e-09    229
1.47582e-09    1.52978e-09    230
1.49063e-09    1.30387e-09    231
1.47244e-09    1.52074e-09    232
1.47866e-09    1.43239e-09    233
1.4796e-09     1.37633e-09    234
1.47862e-09    1.39282e-09    235
1.47967e-09    1.28642e-09    236
1.47851e-09    1.58502e-09    237
1.47479e-09    1.33921e-09    238
1.47748e-09    1.58354e-09    239
1.48278e-09    1.22608e-09    240
1.48462e-09    1.41876e-09    241
1.47547e-09    1.66782e-09    242
1.47205e-09    1.26494e-09    243
1.47338e-09    1.75532e-09    244
1.47176e-09    1.68055e-09    245
1.48135e-09    1.78775e-09    246
1.47062e-09    1.48193e-09    247
1.46744e-09    1.18151e-09    248
1.46298e-09    1.38647e-09    249
1.48011e-09    1.43116e-09    250
1.48429e-09    1.59042e-09    251
1.47351e-09    1.20465e-09    252
1.48453e-09    1.70948e-09    253
1.49007e-09    1.56231e-09    254
1.47775e-09    1.81696e-09    255
1.46248e-09    1.28722e-09    256
1.47905e-09    1.4194e-09     257
1.47725e-09    1.21178e-09    258
1.47239e-09    1.51504e-09    259
1.4849e-09     1.4684e-09     260
1.46904e-09    1.53114e-09    261
1.47676e-09    1.25514e-09    262
1.4712e-09     1.20151e-09    263
1.4772e-09     1.55117e-09    264
1.47947e-09    1.35324e-09    265
1.47715e-09    1.41077e-09    266
1.46961e-09    1.31014e-09    267
1.47042e-09    1.42674e-09    268
1.48441e-09    1.13031e-09    269
1.4695e-09     1.30792e-09    270
1.47093e-09    1.27906e-09    271
1.48536e-09    1.36782e-09    272
1.47307e-09    1.35628e-09    273
1.47809e-09    1.2852e-09     274
1.4882e-09     1.46564e-09    275
1.47512e-09    1.25797e-09    276
1.48008e-09    1.54789e-09    277
1.47303e-09    1.51855e-09    278
1.47709e-09    1.24023e-09    279
1.47833e-09    1.17058e-09    280
1.48196e-09    1.38681e-09    281
1.48475e-09    1.48848e-09    282
1.46694e-09    1.3966e-09     283
1.47337e-09    1.06329e-09    284
1.4743e-09     1.54522e-09    285
1.48151e-09    1.6507e-09     286
1.47245e-09    1.59648e-09    287
1.47521e-09    1.43311e-09    288
1.4703e-09     1.34866e-09    289
1.47346e-09    1.55554e-09    290
1.4796e-09     1.42091e-09    291
1.47827e-09    1.63545e-09    292
1.46319e-09    1.30544e-09    293
1.4718e-09     1.54542e-09    294
1.46969e-09    1.76906e-09    295
1.47273e-09    1.37255e-09    296
1.48837e-09    1.42786e-09    297
1.45932e-09    1.51558e-09    298
1.48081e-09    1.52187e-09    299
1.47988e-09    1.22791e-09    300
1.46792e-09    1.22149e-09    301
1.46496e-09    1.42365e-09    302
1.47341e-09    1.76378e-09    303
1.46524e-09    1.28774e-09    304
1.4746e-09     1.35819e-09    305
1.46654e-09    1.6378e-09     306
1.46613e-09    1.58485e-09    307
1.48697e-09    1.01433e-09    308
1.47547e-09    1.43242e-09    309
1.48138e-09    1.50273e-09    310
1.46482e-09    1.49808e-09    311
1.46997e-09    1.76089e-09    312
1.47758e-09    1.53607e-09    313
1.48281e-09    1.41272e-09    314
1.47697e-09    1.35105e-09    315
1.4833e-09     1.34187e-09    316
1.47981e-09    1.60249e-09    317
1.48528e-09    1.71398e-09    318
1.48248e-09    1.73786e-09    319
1.47477e-09    1.17985e-09    320
1.47967e-09    1.52998e-09    321
1.46434e-09    1.28978e-09    322
1.48037e-09    1.46281e-09    323
1.48495e-09    1.66259e-09    324
1.49213e-09    1.81512e-09    325
1.47044e-09    1.43247e-09    326
1.47986e-09    1.432e-09      327
1.46858e-09    1.33124e-09    328
1.47733e-09    1.54265e-09    329
1.47071e-09    1.63085e-09    330
1.47127e-09    1.53894e-09    331
1.48531e-09    1.34958e-09    332
1.4851e-09     1.70168e-09    333
1.48101e-09    1.64927e-09    334
1.47948e-09    1.43043e-09    335
1.48239e-09    1.46037e-09    336
1.47163e-09    1.37419e-09    337
1.49088e-09    1.59926e-09    338
1.4749e-09     1.40409e-09    339
1.47944e-09    1.31713e-09    340
1.47706e-09    1.5587e-09     341
1.48364e-09    1.75683e-09    342
1.47653e-09    1.58359e-09    343
1.48675e-09    1.49545e-09    344
1.47592e-09    1.41936e-09    345
1.47873e-09    1.74664e-09    346
1.47488e-09    1.5489e-09     347
1.47298e-09    1.30508e-09    348
1.47664e-09    1.37421e-09    349
1.47842e-09    1.75714e-09    350
1.47228e-09    1.34748e-09    351
1.47933e-09    1.39263e-09    352
1.47167e-09    1.66105e-09    353
1.48546e-09    1.43657e-09    354
1.4724e-09     1.69403e-09    355
1.4727e-09     1.6488e-09     356
1.48774e-09    1.53452e-09    357
1.47671e-09    1.40421e-09    358
1.46854e-09    1.64574e-09    359
1.47508e-09    1.19554e-09    360
1.46715e-09    1.61565e-09    361
1.48131e-09    1.3859e-09     362
1.48543e-09    1.53614e-09    363
1.48116e-09    1.3171e-09     364
1.47785e-09    1.58037e-09    365
1.47941e-09    1.58143e-09    366
1.47075e-09    1.14599e-09    367
1.49476e-09    1.53086e-09    368
1.48471e-09    1.40761e-09    369
1.47445e-09    1.15358e-09    370
1.47014e-09    1.33527e-09    371
1.46365e-09    1.76621e-09    372
1.46428e-09    1.51245e-09    373
1.46891e-09    1.47232e-09    374
1.47942e-09    1.50064e-09    375
1.47754e-09    1.39685e-09    376
1.4629e-09     1.2996e-09     377
1.46961e-09    1.34973e-09    378
1.48483e-09    1.38149e-09    379
1.48315e-09    1.33341e-09    380
1.47355e-09    1.84978e-09    381
1.46608e-09    1.91379e-09    382
1.4768e-09     1.57491e-09    383
1.47693e-09    1.70784e-09    384
